,user_id,grade_id,sex,height,weight,bmi,usa_routes
440,30478.0,44.0,0,178,63,19.883853048857468,5.11a
441,30509.0,53.0,0,176,68,21.952479338842977,5.12b
442,30566.0,64.0,0,183,83,24.78425751739377,5.13c
443,30583.0,31.0,0,183,63,18.812147272238644,5.8
444,30653.0,53.0,0,179,83,25.90431010268094,5.12b
445,30679.0,59.0,0,165,58,21.30394857667585,5.13a
446,30693.0,55.0,0,183,68,20.305174833527424,5.12c
447,30728.0,66.0,0,177,58,18.513198633853616,5.13d
448,30758.0,59.0,0,182,73,22.03840115928028,5.13a
449,30803.0,55.0,0,178,68,21.461936624163616,5.12c
450,30860.0,59.0,0,174,63,20.808561236623067,5.13a
451,30869.0,40.0,0,167,58,20.796729893506402,5.10c
452,30873.0,68.0,0,171,63,21.545090797168363,5.14a
453,30960.0,44.0,0,178,73,23.04002019946976,5.11a
454,31072.0,51.0,0,182,83,25.057360222195385,5.12a
455,31077.0,53.0,0,172,63,21.29529475392104,5.12b
456,31145.0,59.0,0,166,63,22.8625344752504,5.13a
457,31148.0,66.0,0,170,63,21.79930795847751,5.13d
458,31149.0,70.0,0,175,63,20.571428571428573,5.14b
459,31157.0,59.0,0,171,63,21.545090797168363,5.13a
460,31433.0,33.0,0,165,68,24.977043158861342,5.9
461,31451.0,62.0,0,179,58,18.101807059704754,5.13b
463,31520.0,53.0,0,194,88,23.381868423849507,5.12b
464,31624.0,29.0,0,175,63,20.571428571428573,5.7
465,31821.0,64.0,0,172,68,22.985397512168742,5.13c
466,31848.0,51.0,0,166,58,21.04804761213529,5.12a
467,31888.0,40.0,0,162,68,25.910684346898332,5.10c
468,31891.0,57.0,0,183,78,23.291229956104985,5.12d
469,31979.0,62.0,0,182,83,25.057360222195385,5.13b
470,31994.0,68.0,0,175,63,20.571428571428573,5.14a
471,32202.0,59.0,0,190,73,20.221606648199447,5.13a
473,32520.0,46.0,0,176,78,25.180785123966942,5.11b
474,32532.0,46.0,0,180,68,20.98765432098765,5.11b
476,32546.0,51.0,0,183,78,23.291229956104985,5.12a
477,32615.0,46.0,0,173,68,22.720438370810918,5.11b
